Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,30/03/2023 12:05,Nationals Park,Washington Nationals,Atlanta Braves,2 - 7
2,1,30/03/2023 12:05,Yankee Stadium,New York Yankees,San Francisco Giants,5 - 0
3,1,30/03/2023 13:10,Fenway Park,Boston Red Sox,Baltimore Orioles,9 - 10
4,1,30/03/2023 13:20,Wrigley Field,Chicago Cubs,Milwaukee Brewers,4 - 0
5,1,30/03/2023 14:10,Tropicana Field,Tampa Bay Rays,Detroit Tigers,4 - 0
6,1,30/03/2023 15:05,Globe Life Field,Texas Rangers,Philadelphia Phillies,11 - 7
7,1,30/03/2023 15:10,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,4 - 5
9,1,30/03/2023 15:10,Busch Stadium,St. Louis Cardinals,Toronto Blue Jays,9 - 10
10,1,30/03/2023 15:10,Kauffman Stadium,Kansas City Royals,Minnesota Twins,0 - 2
11,1,30/03/2023 15:10,loanDepot park,Miami Marlins,New York Mets,3 - 5
12,1,30/03/2023 18:08,Minute Maid Park,Houston Astros,Chicago White Sox,2 - 3
8,1,30/03/2023 20:40,Petco Park,San Diego Padres,Colorado Rockies,2 - 7
13,1,30/03/2023 21:07,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,2 - 1
14,1,30/03/2023 21:10,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,8 - 2
15,1,30/03/2023 21:10,T-Mobile Park,Seattle Mariners,Cleveland Guardians,3 - 0
16,1,31/03/2023 17:40,loanDepot park,Miami Marlins,New York Mets,2 - 1
17,1,31/03/2023 19:10,Minute Maid Park,Houston Astros,Chicago White Sox,6 - 3
18,1,31/03/2023 20:40,Petco Park,San Diego Padres,Colorado Rockies,1 - 4
19,1,31/03/2023 21:10,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,1 - 2
20,1,31/03/2023 21:10,T-Mobile Park,Seattle Mariners,Cleveland Guardians,4 - 9
21,1,01/04/2023 13:10,Minute Maid Park,Houston Astros,Chicago White Sox,6 - 4
22,1,01/04/2023 13:15,Busch Stadium,St. Louis Cardinals,Toronto Blue Jays,4 - 1
23,1,01/04/2023 13:20,Wrigley Field,Chicago Cubs,Milwaukee Brewers,1 - 3
24,1,01/04/2023 15:05,Globe Life Field,Texas Rangers,Philadelphia Phillies,16 - 3
25,1,01/04/2023 15:05,Nationals Park,Washington Nationals,Atlanta Braves,1 - 7
26,1,01/04/2023 15:05,Yankee Stadium,New York Yankees,San Francisco Giants,5 - 7
27,1,01/04/2023 15:07,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,1 - 13
28,1,01/04/2023 15:10,Fenway Park,Boston Red Sox,Baltimore Orioles,9 - 8
29,1,01/04/2023 15:10,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,6 - 2
30,1,01/04/2023 15:10,Tropicana Field,Tampa Bay Rays,Detroit Tigers,12 - 2
31,1,01/04/2023 15:10,Kauffman Stadium,Kansas City Royals,Minnesota Twins,0 - 2
32,1,01/04/2023 15:10,loanDepot park,Miami Marlins,New York Mets,2 - 6
33,1,01/04/2023 19:40,Petco Park,San Diego Padres,Colorado Rockies,8 - 4
34,1,01/04/2023 20:10,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,10 - 1
35,1,01/04/2023 20:40,T-Mobile Park,Seattle Mariners,Cleveland Guardians,0 - 2
36,1,02/04/2023 12:10,Tropicana Field,Tampa Bay Rays,Detroit Tigers,5 - 1
37,1,02/04/2023 12:35,Fenway Park,Boston Red Sox,Baltimore Orioles,9 - 5
38,1,02/04/2023 12:35,Nationals Park,Washington Nationals,Atlanta Braves,4 - 1
39,1,02/04/2023 12:35,Yankee Stadium,New York Yankees,San Francisco Giants,6 - 0
40,1,02/04/2023 12:40,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,3 - 1
41,1,02/04/2023 12:40,loanDepot park,Miami Marlins,New York Mets,1 - 5
42,1,02/04/2023 13:10,Kauffman Stadium,Kansas City Royals,Minnesota Twins,4 - 7
43,1,02/04/2023 13:10,Minute Maid Park,Houston Astros,Chicago White Sox,3 - 6
44,1,02/04/2023 13:15,Busch Stadium,St. Louis Cardinals,Toronto Blue Jays,9 - 4
45,1,02/04/2023 13:20,Wrigley Field,Chicago Cubs,Milwaukee Brewers,5 - 9
46,1,02/04/2023 15:07,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,0 - 6
47,1,02/04/2023 15:10,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,1 - 2
48,1,02/04/2023 15:10,Petco Park,San Diego Padres,Colorado Rockies,3 - 1
49,1,02/04/2023 15:10,T-Mobile Park,Seattle Mariners,Cleveland Guardians,5 - 6
50,1,02/04/2023 18:08,Globe Life Field,Texas Rangers,Philadelphia Phillies,2 - 1
51,1,03/04/2023 13:10,American Family Field,Milwaukee Brewers,New York Mets,10 - 0
52,1,03/04/2023 14:10,Guaranteed Rate Field,Chicago White Sox,San Francisco Giants,3 - 12
53,1,03/04/2023 17:40,Great American Ball Park,Cincinnati Reds,Chicago Cubs,7 - 6
54,1,03/04/2023 17:40,loanDepot park,Miami Marlins,Minnesota Twins,1 - 11
55,1,03/04/2023 18:05,Nationals Park,Washington Nationals,Tampa Bay Rays,2 - 6
56,1,03/04/2023 18:05,Yankee Stadium,New York Yankees,Philadelphia Phillies,8 - 1
57,1,03/04/2023 18:10,Fenway Park,Boston Red Sox,Pittsburgh Pirates,6 - 7
58,1,03/04/2023 18:40,Kauffman Stadium,Kansas City Royals,Toronto Blue Jays,9 - 5
59,1,03/04/2023 18:45,Busch Stadium,St. Louis Cardinals,Atlanta Braves,4 - 8
60,1,03/04/2023 19:05,Globe Life Field,Texas Rangers,Baltimore Orioles,0 - 2
61,1,03/04/2023 19:10,Minute Maid Park,Houston Astros,Detroit Tigers,6 - 7
62,1,03/04/2023 20:40,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,11 - 12
63,1,03/04/2023 20:40,Petco Park,San Diego Padres,Arizona Diamondbacks,5 - 4
64,1,03/04/2023 20:40,T-Mobile Park,Seattle Mariners,Los Angeles Angels,3 - 7
65,1,03/04/2023 21:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,13 - 4
66,1,04/04/2023 15:10,Petco Park,San Diego Padres,Arizona Diamondbacks,6 - 8
67,1,04/04/2023 17:40,Great American Ball Park,Cincinnati Reds,Chicago Cubs,5 - 12
68,1,04/04/2023 17:40,loanDepot park,Miami Marlins,Minnesota Twins,1 - 0
69,1,04/04/2023 18:05,Nationals Park,Washington Nationals,Tampa Bay Rays,6 - 10
70,1,04/04/2023 18:05,Yankee Stadium,New York Yankees,Philadelphia Phillies,1 - 4
71,1,04/04/2023 18:10,Fenway Park,Boston Red Sox,Pittsburgh Pirates,1 - 4
72,1,04/04/2023 18:40,Kauffman Stadium,Kansas City Royals,Toronto Blue Jays,1 - 4
73,1,04/04/2023 18:40,American Family Field,Milwaukee Brewers,New York Mets,9 - 0
74,1,04/04/2023 18:45,Busch Stadium,St. Louis Cardinals,Atlanta Braves,1 - 4
75,1,04/04/2023 19:05,Globe Life Field,Texas Rangers,Baltimore Orioles,2 - 7
76,1,04/04/2023 19:10,Minute Maid Park,Houston Astros,Detroit Tigers,3 - 6
77,1,04/04/2023 20:40,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,4 - 3
78,1,04/04/2023 20:40,T-Mobile Park,Seattle Mariners,Los Angeles Angels,11 - 2
79,1,04/04/2023 21:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,5 - 2
81,2,05/04/2023 12:05,Nationals Park,Washington Nationals,Tampa Bay Rays,2 - 7
82,2,05/04/2023 12:05,Yankee Stadium,New York Yankees,Philadelphia Phillies,4 - 2
83,2,05/04/2023 12:10,loanDepot park,Miami Marlins,Minnesota Twins,5 - 2
84,2,05/04/2023 12:15,Busch Stadium,St. Louis Cardinals,Atlanta Braves,2 - 5
85,2,05/04/2023 12:35,Fenway Park,Boston Red Sox,Pittsburgh Pirates,1 - 4
86,2,05/04/2023 12:40,American Family Field,Milwaukee Brewers,New York Mets,7 - 6
87,2,05/04/2023 13:05,Globe Life Field,Texas Rangers,Baltimore Orioles,5 - 2
88,2,05/04/2023 13:10,Guaranteed Rate Field,Chicago White Sox,San Francisco Giants,7 - 3
92,2,05/04/2023 13:10,Minute Maid Park,Houston Astros,Detroit Tigers,8 - 2
89,2,05/04/2023 14:37,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,4 - 6
90,2,05/04/2023 15:10,T-Mobile Park,Seattle Mariners,Los Angeles Angels,3 - 4
91,2,05/04/2023 18:40,Kauffman Stadium,Kansas City Royals,Toronto Blue Jays,0 - 3
93,2,06/04/2023 12:10,Comerica Park,Detroit Tigers,Boston Red Sox,3 - 6
95,2,06/04/2023 13:10,Kauffman Stadium,Kansas City Royals,Toronto Blue Jays,3 - 6
96,2,06/04/2023 13:10,Guaranteed Rate Field,Chicago White Sox,San Francisco Giants,6 - 16
99,2,06/04/2023 15:10,Coors Field,Colorado Rockies,Washington Nationals,1 - 0
101,2,06/04/2023 18:20,Truist Park,Atlanta Braves,San Diego Padres,7 - 6
102,2,06/04/2023 21:10,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,2 - 5
94,2,07/04/2023 12:10,Citi Field,New York Mets,Miami Marlins,9 - 3
103,2,07/04/2023 13:20,Wrigley Field,Chicago Cubs,Texas Rangers,2 - 0
97,2,07/04/2023 14:05,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,5 - 2
98,2,07/04/2023 14:05,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,7 - 6
100,2,07/04/2023 15:10,Target Field,Minnesota Twins,Houston Astros,3 - 2
104,2,07/04/2023 15:10,Progressive Field,Cleveland Guardians,Seattle Mariners,3 - 5
105,2,07/04/2023 15:12,PNC Park,Pittsburgh Pirates,Chicago White Sox,13 - 9
106,2,07/04/2023 15:35,Oracle Park,San Francisco Giants,Kansas City Royals,1 - 3
107,2,07/04/2023 17:40,Tropicana Field,Tampa Bay Rays,Oakland Athletics,9 - 5
108,2,07/04/2023 18:20,Truist Park,Atlanta Braves,San Diego Padres,4 - 5
109,2,07/04/2023 19:10,American Family Field,Milwaukee Brewers,St. Louis Cardinals,4 - 0
110,2,07/04/2023 19:40,Coors Field,Colorado Rockies,Washington Nationals,5 - 10
111,2,07/04/2023 20:38,Angel Stadium,Los Angeles Angels,Toronto Blue Jays,3 - 4
112,2,07/04/2023 20:40,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,6 - 3
114,2,08/04/2023 13:10,Target Field,Minnesota Twins,Houston Astros,9 - 6
115,2,08/04/2023 15:05,Oracle Park,San Francisco Giants,Kansas City Royals,5 - 6
116,2,08/04/2023 15:05,Wrigley Field,Chicago Cubs,Texas Rangers,10 - 3
117,2,08/04/2023 15:05,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,3 - 2
113,2,08/04/2023 15:10,Comerica Park,Detroit Tigers,Boston Red Sox,5 - 14
118,2,08/04/2023 15:10,Tropicana Field,Tampa Bay Rays,Oakland Athletics,11 - 0
119,2,08/04/2023 15:10,Citi Field,New York Mets,Miami Marlins,5 - 2
120,2,08/04/2023 17:10,Progressive Field,Cleveland Guardians,Seattle Mariners,2 - 3
121,2,08/04/2023 17:35,PNC Park,Pittsburgh Pirates,Chicago White Sox,5 - 11
122,2,08/04/2023 18:05,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,1 - 4
123,2,08/04/2023 18:10,American Family Field,Milwaukee Brewers,St. Louis Cardinals,0 - 6
124,2,08/04/2023 18:20,Truist Park,Atlanta Braves,San Diego Padres,1 - 4
125,2,08/04/2023 19:10,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,12 - 8
126,2,08/04/2023 19:10,Coors Field,Colorado Rockies,Washington Nationals,6 - 7
127,2,08/04/2023 20:07,Angel Stadium,Los Angeles Angels,Toronto Blue Jays,9 - 5
128,2,09/04/2023 12:05,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,4 - 6
129,2,09/04/2023 12:10,Comerica Park,Detroit Tigers,Boston Red Sox,1 - 4
130,2,09/04/2023 12:10,Tropicana Field,Tampa Bay Rays,Oakland Athletics,11 - 0
131,2,09/04/2023 12:35,PNC Park,Pittsburgh Pirates,Chicago White Sox,1 - 0
132,2,09/04/2023 12:35,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,3 - 5
133,2,09/04/2023 12:40,Progressive Field,Cleveland Guardians,Seattle Mariners,7 - 6
134,2,09/04/2023 12:40,Citi Field,New York Mets,Miami Marlins,2 - 7
135,2,09/04/2023 13:10,Target Field,Minnesota Twins,Houston Astros,1 - 5
136,2,09/04/2023 13:10,American Family Field,Milwaukee Brewers,St. Louis Cardinals,6 - 1
137,2,09/04/2023 13:20,Wrigley Field,Chicago Cubs,Texas Rangers,2 - 8
138,2,09/04/2023 14:10,Coors Field,Colorado Rockies,Washington Nationals,7 - 6
139,2,09/04/2023 15:05,Oracle Park,San Francisco Giants,Kansas City Royals,3 - 1
140,2,09/04/2023 15:07,Angel Stadium,Los Angeles Angels,Toronto Blue Jays,11 - 12
141,2,09/04/2023 15:10,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,11 - 6
142,2,09/04/2023 18:10,Truist Park,Atlanta Braves,San Diego Padres,2 - 10
143,2,10/04/2023 13:10,Target Field,Minnesota Twins,Chicago White Sox,3 - 4
144,2,10/04/2023 17:10,Progressive Field,Cleveland Guardians,New York Yankees,3 - 2
145,2,10/04/2023 17:35,Oriole Park at Camden Yards,Baltimore Orioles,Oakland Athletics,5 - 1
146,2,10/04/2023 17:35,PNC Park,Pittsburgh Pirates,Houston Astros,2 - 8
147,2,10/04/2023 17:40,Tropicana Field,Tampa Bay Rays,Boston Red Sox,1 - 0
148,2,10/04/2023 17:40,Citizens Bank Park,Philadelphia Phillies,Miami Marlins,15 - 3
149,2,10/04/2023 18:10,Citi Field,New York Mets,San Diego Padres,5 - 0
150,2,10/04/2023 18:20,Truist Park,Atlanta Braves,Cincinnati Reds,5 - 4
151,2,10/04/2023 18:40,Wrigley Field,Chicago Cubs,Seattle Mariners,3 - 2
152,2,10/04/2023 19:05,Globe Life Field,Texas Rangers,Kansas City Royals,11 - 2
153,2,10/04/2023 19:40,Coors Field,Colorado Rockies,St. Louis Cardinals,7 - 4
154,2,10/04/2023 20:38,Angel Stadium,Los Angeles Angels,Washington Nationals,4 - 6
155,2,10/04/2023 20:40,Chase Field,Arizona Diamondbacks,Milwaukee Brewers,3 - 0
156,2,10/04/2023 20:45,Oracle Park,San Francisco Giants,Los Angeles Dodgers,1 - 9
157,2,11/04/2023 17:10,Progressive Field,Cleveland Guardians,New York Yankees,2 - 11
158,2,11/04/2023 17:35,Oriole Park at Camden Yards,Baltimore Orioles,Oakland Athletics,12 - 8
159,2,11/04/2023 17:35,PNC Park,Pittsburgh Pirates,Houston Astros,7 - 4
160,2,11/04/2023 17:40,Tropicana Field,Tampa Bay Rays,Boston Red Sox,7 - 2
161,2,11/04/2023 17:40,Citizens Bank Park,Philadelphia Phillies,Miami Marlins,4 - 8
162,2,11/04/2023 18:07,Rogers Centre,Toronto Blue Jays,Detroit Tigers,9 - 3
163,2,11/04/2023 18:10,Citi Field,New York Mets,San Diego Padres,2 - 4
164,2,11/04/2023 18:20,Truist Park,Atlanta Braves,Cincinnati Reds,7 - 6
165,2,11/04/2023 18:40,Wrigley Field,Chicago Cubs,Seattle Mariners,14 - 9
166,2,11/04/2023 18:40,Target Field,Minnesota Twins,Chicago White Sox,4 - 3
167,2,11/04/2023 19:05,Globe Life Field,Texas Rangers,Kansas City Royals,8 - 5
168,2,11/04/2023 19:40,Coors Field,Colorado Rockies,St. Louis Cardinals,6 - 9
169,2,11/04/2023 20:38,Angel Stadium,Los Angeles Angels,Washington Nationals,2 - 0
170,2,11/04/2023 20:40,Chase Field,Arizona Diamondbacks,Milwaukee Brewers,1 - 7
171,2,11/04/2023 20:45,Oracle Park,San Francisco Giants,Los Angeles Dodgers,5 - 0
172,3,12/04/2023 11:35,PNC Park,Pittsburgh Pirates,Houston Astros,0 - 7
173,3,12/04/2023 12:10,Citi Field,New York Mets,San Diego Padres,5 - 2
174,3,12/04/2023 12:10,Target Field,Minnesota Twins,Chicago White Sox,3 - 1
175,3,12/04/2023 12:10,Progressive Field,Cleveland Guardians,New York Yankees,3 - 4
176,3,12/04/2023 13:20,Wrigley Field,Chicago Cubs,Seattle Mariners,2 - 5
177,3,12/04/2023 14:10,Coors Field,Colorado Rockies,St. Louis Cardinals,4 - 7
178,3,12/04/2023 14:40,Chase Field,Arizona Diamondbacks,Milwaukee Brewers,7 - 3
179,3,12/04/2023 15:05,Citizens Bank Park,Philadelphia Phillies,Miami Marlins,2 - 3
180,3,12/04/2023 15:07,Angel Stadium,Los Angeles Angels,Washington Nationals,3 - 2
181,3,12/04/2023 17:35,Oriole Park at Camden Yards,Baltimore Orioles,Oakland Athletics,4 - 8
182,3,12/04/2023 17:40,Tropicana Field,Tampa Bay Rays,Boston Red Sox,9 - 7
183,3,12/04/2023 18:07,Rogers Centre,Toronto Blue Jays,Detroit Tigers,4 - 3
184,3,12/04/2023 18:20,Truist Park,Atlanta Braves,Cincinnati Reds,5 - 4
185,3,12/04/2023 19:05,Globe Life Field,Texas Rangers,Kansas City Royals,1 - 10
186,3,12/04/2023 20:45,Oracle Park,San Francisco Giants,Los Angeles Dodgers,5 - 10
187,3,13/04/2023 12:05,Oriole Park at Camden Yards,Baltimore Orioles,Oakland Athletics,8 - 7
188,3,13/04/2023 12:10,Tropicana Field,Tampa Bay Rays,Boston Red Sox,9 - 3
189,3,13/04/2023 17:40,Great American Ball Park,Cincinnati Reds,Philadelphia Phillies,6 - 2
190,3,13/04/2023 18:05,Yankee Stadium,New York Yankees,Minnesota Twins,2 - 11
191,3,13/04/2023 18:07,Rogers Centre,Toronto Blue Jays,Detroit Tigers,1 - 3
192,3,13/04/2023 18:45,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,0 - 5
193,3,13/04/2023 20:40,Petco Park,San Diego Padres,Milwaukee Brewers,3 - 4
194,3,14/04/2023 17:40,Comerica Park,Detroit Tigers,San Francisco Giants,7 - 5
195,3,14/04/2023 17:40,Great American Ball Park,Cincinnati Reds,Philadelphia Phillies,3 - 8
196,3,14/04/2023 17:40,loanDepot park,Miami Marlins,Arizona Diamondbacks,5 - 1
197,3,14/04/2023 18:05,Nationals Park,Washington Nationals,Cleveland Guardians,3 - 4
198,3,14/04/2023 18:05,Yankee Stadium,New York Yankees,Minnesota Twins,3 - 4
199,3,14/04/2023 18:07,Rogers Centre,Toronto Blue Jays,Tampa Bay Rays,6 - 3
200,3,14/04/2023 18:10,Fenway Park,Boston Red Sox,Los Angeles Angels,5 - 3
201,3,14/04/2023 18:10,Guaranteed Rate Field,Chicago White Sox,Baltimore Orioles,3 - 6
202,3,14/04/2023 19:10,Minute Maid Park,Houston Astros,Texas Rangers,2 - 6
203,3,14/04/2023 19:10,Kauffman Stadium,Kansas City Royals,Atlanta Braves,3 - 10
204,3,14/04/2023 19:15,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,3 - 0
205,3,14/04/2023 20:40,Oakland Coliseum,Oakland Athletics,New York Mets,6 - 17
206,3,14/04/2023 20:40,Petco Park,San Diego Padres,Milwaukee Brewers,2 - 11
207,3,14/04/2023 21:10,Dodger Stadium,Los Angeles Dodgers,Chicago Cubs,2 - 8
208,3,14/04/2023 21:10,T-Mobile Park,Seattle Mariners,Colorado Rockies,5 - 3
209,3,15/04/2023 12:05,Yankee Stadium,New York Yankees,Minnesota Twins,6 - 1
210,3,15/04/2023 12:10,Comerica Park,Detroit Tigers,San Francisco Giants,7 - 6
211,3,15/04/2023 13:10,Guaranteed Rate Field,Chicago White Sox,Baltimore Orioles,7 - 6
212,3,15/04/2023 13:15,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,3 - 6
213,3,15/04/2023 14:07,Rogers Centre,Toronto Blue Jays,Tampa Bay Rays,5 - 2
214,3,15/04/2023 15:05,Nationals Park,Washington Nationals,Cleveland Guardians,4 - 6
215,3,15/04/2023 15:05,Petco Park,San Diego Padres,Milwaukee Brewers,10 - 3
216,3,15/04/2023 15:07,Oakland Coliseum,Oakland Athletics,New York Mets,2 - 3
217,3,15/04/2023 15:10,Fenway Park,Boston Red Sox,Los Angeles Angels,9 - 7
218,3,15/04/2023 15:10,Great American Ball Park,Cincinnati Reds,Philadelphia Phillies,13 - 0
219,3,15/04/2023 15:10,Kauffman Stadium,Kansas City Royals,Atlanta Braves,3 - 9
220,3,15/04/2023 15:10,loanDepot park,Miami Marlins,Arizona Diamondbacks,3 - 2
221,3,15/04/2023 18:10,Minute Maid Park,Houston Astros,Texas Rangers,8 - 2
222,3,15/04/2023 20:10,Dodger Stadium,Los Angeles Dodgers,Chicago Cubs,2 - 1
223,3,15/04/2023 20:40,T-Mobile Park,Seattle Mariners,Colorado Rockies,9 - 2
225,3,16/04/2023 12:35,Fenway Park,Boston Red Sox,Los Angeles Angels,2 - 1
226,3,16/04/2023 12:35,Nationals Park,Washington Nationals,Cleveland Guardians,7 - 6
227,3,16/04/2023 12:35,Yankee Stadium,New York Yankees,Minnesota Twins,2 - 0
228,3,16/04/2023 12:37,Rogers Centre,Toronto Blue Jays,Tampa Bay Rays,1 - 8
229,3,16/04/2023 12:40,Great American Ball Park,Cincinnati Reds,Philadelphia Phillies,3 - 14
230,3,16/04/2023 12:40,loanDepot park,Miami Marlins,Arizona Diamondbacks,0 - 5
231,3,16/04/2023 13:10,Kauffman Stadium,Kansas City Royals,Atlanta Braves,4 - 5
232,3,16/04/2023 13:10,Guaranteed Rate Field,Chicago White Sox,Baltimore Orioles,4 - 8
233,3,16/04/2023 13:15,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,5 - 4
234,3,16/04/2023 15:07,Oakland Coliseum,Oakland Athletics,New York Mets,3 - 4
235,3,16/04/2023 15:10,Dodger Stadium,Los Angeles Dodgers,Chicago Cubs,2 - 3
236,3,16/04/2023 15:10,T-Mobile Park,Seattle Mariners,Colorado Rockies,1 - 0
237,3,16/04/2023 15:10,Petco Park,San Diego Padres,Milwaukee Brewers,0 - 1
238,3,16/04/2023 18:10,Minute Maid Park,Houston Astros,Texas Rangers,1 - 9
239,3,17/04/2023 10:10,Fenway Park,Boston Red Sox,Los Angeles Angels,4 - 5
241,3,17/04/2023 17:40,Great American Ball Park,Cincinnati Reds,Tampa Bay Rays,8 - 1
242,3,17/04/2023 17:40,loanDepot park,Miami Marlins,San Francisco Giants,4 - 3
244,3,17/04/2023 18:40,Kauffman Stadium,Kansas City Royals,Texas Rangers,0 - 4
245,3,17/04/2023 18:45,Busch Stadium,St. Louis Cardinals,Arizona Diamondbacks,3 - 6
246,3,17/04/2023 19:10,Minute Maid Park,Houston Astros,Toronto Blue Jays,9 - 2
247,3,17/04/2023 19:40,Coors Field,Colorado Rockies,Pittsburgh Pirates,3 - 14
248,3,17/04/2023 20:40,Oakland Coliseum,Oakland Athletics,Chicago Cubs,1 - 10
249,3,17/04/2023 20:40,Petco Park,San Diego Padres,Atlanta Braves,0 - 2
250,3,17/04/2023 20:40,T-Mobile Park,Seattle Mariners,Milwaukee Brewers,3 - 7
251,3,17/04/2023 21:10,Dodger Stadium,Los Angeles Dodgers,New York Mets,6 - 8
252,3,18/04/2023 12:10,Comerica Park,Detroit Tigers,Cleveland Guardians,1 - 0
240,3,18/04/2023 12:15,Comerica Park,Detroit Tigers,Cleveland Guardians,4 - 3
258,3,18/04/2023 15:10,Guaranteed Rate Field,Chicago White Sox,Philadelphia Phillies,4 - 7
243,3,18/04/2023 15:15,Guaranteed Rate Field,Chicago White Sox,Philadelphia Phillies,3 - 0
253,3,18/04/2023 17:40,Great American Ball Park,Cincinnati Reds,Tampa Bay Rays,0 - 10
254,3,18/04/2023 17:40,loanDepot park,Miami Marlins,San Francisco Giants,4 - 2
255,3,18/04/2023 18:05,Nationals Park,Washington Nationals,Baltimore Orioles,0 - 1
256,3,18/04/2023 18:05,Yankee Stadium,New York Yankees,Los Angeles Angels,2 - 5
257,3,18/04/2023 18:10,Fenway Park,Boston Red Sox,Minnesota Twins,5 - 4
259,3,18/04/2023 18:40,Kauffman Stadium,Kansas City Royals,Texas Rangers,2 - 12
260,3,18/04/2023 18:45,Busch Stadium,St. Louis Cardinals,Arizona Diamondbacks,7 - 8
261,3,18/04/2023 19:10,Minute Maid Park,Houston Astros,Toronto Blue Jays,2 - 4
262,3,18/04/2023 19:40,Coors Field,Colorado Rockies,Pittsburgh Pirates,3 - 5
263,3,18/04/2023 20:40,Oakland Coliseum,Oakland Athletics,Chicago Cubs,0 - 4
264,3,18/04/2023 20:40,Petco Park,San Diego Padres,Atlanta Braves,1 - 8
265,3,18/04/2023 20:40,T-Mobile Park,Seattle Mariners,Milwaukee Brewers,5 - 6
266,3,18/04/2023 21:10,Dodger Stadium,Los Angeles Dodgers,New York Mets,5 - 0
267,4,19/04/2023 11:35,Great American Ball Park,Cincinnati Reds,Tampa Bay Rays,0 - 8
268,4,19/04/2023 12:10,Comerica Park,Detroit Tigers,Cleveland Guardians,2 - 3
269,4,19/04/2023 12:10,loanDepot park,Miami Marlins,San Francisco Giants,2 - 5
270,4,19/04/2023 12:15,Busch Stadium,St. Louis Cardinals,Arizona Diamondbacks,14 - 5
271,4,19/04/2023 13:10,Kauffman Stadium,Kansas City Royals,Texas Rangers,3 - 12
272,4,19/04/2023 13:10,Guaranteed Rate Field,Chicago White Sox,Philadelphia Phillies,2 - 5
273,4,19/04/2023 14:10,Dodger Stadium,Los Angeles Dodgers,New York Mets,3 - 5
274,4,19/04/2023 14:10,Coors Field,Colorado Rockies,Pittsburgh Pirates,3 - 14
275,4,19/04/2023 14:37,Oakland Coliseum,Oakland Athletics,Chicago Cubs,2 - 12
276,4,19/04/2023 15:10,Petco Park,San Diego Padres,Atlanta Braves,1 - 0
277,4,19/04/2023 15:10,T-Mobile Park,Seattle Mariners,Milwaukee Brewers,3 - 5
278,4,19/04/2023 18:05,Nationals Park,Washington Nationals,Baltimore Orioles,0 - 4
279,4,19/04/2023 18:05,Yankee Stadium,New York Yankees,Los Angeles Angels,3 - 2
280,4,19/04/2023 18:10,Fenway Park,Boston Red Sox,Minnesota Twins,4 - 10
281,4,19/04/2023 19:10,Minute Maid Park,Houston Astros,Toronto Blue Jays,8 - 1
282,4,20/04/2023 12:35,Fenway Park,Boston Red Sox,Minnesota Twins,11 - 5
283,4,20/04/2023 15:05,Yankee Stadium,New York Yankees,Los Angeles Angels,9 - 3
284,4,20/04/2023 17:35,PNC Park,Pittsburgh Pirates,Cincinnati Reds,4 - 3
285,4,20/04/2023 17:40,Citizens Bank Park,Philadelphia Phillies,Colorado Rockies,0 - 5
286,4,20/04/2023 18:40,Wrigley Field,Chicago Cubs,Los Angeles Dodgers,2 - 6
287,4,20/04/2023 20:40,Chase Field,Arizona Diamondbacks,San Diego Padres,5 - 7
288,4,20/04/2023 20:45,Oracle Park,San Francisco Giants,New York Mets,4 - 9
289,4,21/04/2023 13:20,Wrigley Field,Chicago Cubs,Los Angeles Dodgers,13 - 0
290,4,21/04/2023 17:35,PNC Park,Pittsburgh Pirates,Cincinnati Reds,4 - 2
291,4,21/04/2023 17:40,Tropicana Field,Tampa Bay Rays,Chicago White Sox,8 - 7
292,4,21/04/2023 18:05,Oriole Park at Camden Yards,Baltimore Orioles,Detroit Tigers,2 - 1
293,4,21/04/2023 18:05,Citizens Bank Park,Philadelphia Phillies,Colorado Rockies,4 - 3
