"team","team_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Padres","SD","837","11.3",35.2,"116.7","88.5","99.5","92.3","86.1","443","161","388","333",39.8,"67",8,5.6
"Dodgers","LAD","829","15.9",40.8,"119.2","90","100.9","93.9","85.6","450","185","394","375",45.2,"78",9.4,6.3
"D-backs","AZ","814","11.2",32.2,"114.4","88.3","99.2","92.4","85.9","461","159","398","305",37.5,"65",8,5.6
"Astros","HOU","806","15",32,"113.9","89.4","99.5","91.4","88.5","461","172","401","325",40.3,"55",6.8,5.1
"Yankees","NYY","792","13.9",33.1,"116.7","89.2","99.6","93","86.7","450","161","392","314",39.6,"64",8.1,5.5
"Royals","KC","791","12.6",31.5,"113.3","89.8","100.2","93.7","87","440","165","405","328",41.5,"71",9,6.5
"Marlins","MIA","782","9.1",29.4,"115.7","88.6","98.8","92.7","86.4","460","143","403","283",36.2,"50",6.4,4.6
"Phillies","PHI","769","13",33.8,"115.2","88.4","99.5","92.8","85.7","432","166","396","305",39.7,"56",7.3,5
"Rangers","TEX","762","14.5",36.2,"112.5","88.1","98.9","91.4","86.1","428","172","393","284",37.3,"57",7.5,5.3
"Guardians","CLE","761","12.5",33.5,"109.5","87.8","98.1","91.9","85","438","157","388","267",35.1,"44",5.8,4.1
"Mets","NYM","757","12.8",33.6,"113.8","88.3","98.9","92.1","85.9","435","159","400","278",36.9,"58",7.7,5.4
"Pirates","PIT","757","10.7",33,"116.4","87.7","99.8","92.1","84.9","425","153","395","295",39,"56",7.4,4.8
"Orioles","BAL","755","14.2",36.7,"113.6","90.3","100.4","94.6","86.7","438","175","398","337",44.6,"78",10.3,7.3
"Rays","TB","751","11.5",33.8,"112.4","88","98.9","92.1","84.9","444","154","383","278",37,"44",5.9,3.9
"Blue Jays","TOR","748","13.2",32.5,"117.6","87.8","98.9","92.4","85.1","459","159","391","270",36.1,"52",7,4.8
"Giants","SF","737","12.5",34.2,"113.5","89.3","99.7","93.4","86","452","162","398","302",41,"46",6.2,4.3
"Angels","LAA","727","13.8",36.3,"114.9","88.8","99.7","93.1","85.3","473","169","397","284",39.1,"60",8.3,5.5
"Cubs","CHC","725","14.1",35.3,"115","89.1","99.6","92.3","86.4","437","168","395","278",38.3,"63",8.7,5.8
"Red Sox","BOS","724","13.9",33.8,"113.3","88.4","99.3","92.5","85.3","442","168","395","274",37.8,"62",8.6,5.5
"Brewers","MIL","721","11.6",31.2,"114.4","89.1","99.8","92.9","86.4","448","156","398","297",41.2,"58",8,5.3
"Nationals","WSH","717","12",30.8,"114.2","88","99.1","93.5","84.8","447","151","402","280",39.1,"50",7,4.7
"Braves","ATL","707","11.9",34.8,"114.6","90.6","101.3","94.6","88","446","163","404","323",45.7,"66",9.3,6.3
"Cardinals","STL","700","13.5",34.6,"114.2","88.8","99.2","92.2","86.4","445","162","415","261",37.3,"42",6,4
"Tigers","DET","698","16.2",35.8,"111.2","88.9","99.4","92.2","86.9","427","170","393","277",39.7,"54",7.7,5.1
"Twins","MIN","694","14.3",33.9,"115.4","88.7","99.2","92.9","85.6","442","168","396","264",38,"49",7.1,4.6
"White Sox","CWS","691","13.3",34.7,"112.2","88.1","97.7","91.5","86","449","161","399","230",33.3,"37",5.4,3.6
"Athletics","OAK","691","14.1",32.4,"113.1","88.7","99.1","93.8","84.8","445","163","396","258",37.3,"63",9.1,5.8
"Rockies","COL","673","12",30.8,"114.1","88.7","99.3","92.4","86.3","459","158","409","265",39.4,"44",6.5,4.2
"Reds","CIN","672","11.6",33.5,"113.4","88.3","99.3","93.3","85.3","450","157","392","267",39.7,"56",8.3,5.2
"Mariners","SEA","642","13.1",35,"114.5","89.2","99.9","93.3","85.9","435","167","391","267",41.6,"49",7.6,4.7
