"team","team_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Rockies","COL","4513","13.2",34.8,"115.5","89.6","78.9","93.4","86.7","474","173","408","1860",41.2,"386",8.6,6.1
"Cardinals","STL","4462","10.5",34.1,"116.9","89.5","78.8","93.2","86.9","479","160","404","1825",40.9,"367",8.2,5.9
"Nationals","WSH","4401","13.5",35.6,"118.6","89.4","78.5","93.6","86.1","456","171","401","1811",41.1,"416",9.5,6.6
"Athletics","OAK","4286","15.9",35.5,"117.7","89","78.3","92.7","86.4","472","175","402","1683",39.3,"358",8.4,5.6
"Guardians","CLE","4243","13.8",34.7,"119.2","89.4","78.8","93.3","86.5","467","170","396","1706",40.2,"336",7.9,5.5
"Royals","KC","4236","13.6",34.3,"117.1","89.2","78.7","93","86.4","464","169","404","1667",39.4,"361",8.5,5.9
"Reds","CIN","4232","15.2",34.6,"118.6","89.2","78.6","92.8","86.3","458","174","395","1657",39.2,"340",8,5.4
"Giants","SF","4199","8.4",32,"117.8","89.2","78.3","93.4","86.6","485","149","400","1673",39.8,"306",7.3,5.1
"Pirates","PIT","4193","11.8",34,"115.1","88.9","77.9","93.2","86","455","162","400","1679",40,"339",8.1,5.4
"D-backs","AZ","4175","13.2",35,"115.8","89.7","79.1","93.8","86.5","493","170","403","1731",41.5,"382",9.1,6.3
"Tigers","DET","4166","13.3",33.4,"119.5","89.3","78.4","93.4","86.2","463","166","397","1650",39.9,"344",8.3,5.7
"Red Sox","BOS","4160","12.1",33.1,"116.7","89.1","78.2","93.3","86.1","470","160","396","1667",40.1,"330",7.9,5.4
"Angels","LAA","4131","14.3",34.4,"116.4","88.5","77.5","92.6","85.5","445","170","399","1560",37.9,"353",8.5,5.6
"Cubs","CHC","4130","12.2",34.2,"118.1","88.3","77.1","92.7","85.4","482","158","401","1571",38,"311",7.5,5.1
"Orioles","BAL","4129","11.2",33.7,"117.1","89.2","78.3","93.3","85.9","456","163","401","1680",40.7,"332",8,5.4
"Rangers","TEX","4123","13.4",32.6,"116.1","88.9","78","92.8","86.3","459","165","401","1615",39.2,"335",8.1,5.6
"Dodgers","LAD","4099","13.6",32.9,"121.2","88.7","77.9","92.8","85.6","458","165","397","1550",37.8,"321",7.8,5.3
"Phillies","PHI","4096","12.2",34,"118.6","88.4","77.3","92.2","86.1","464","160","397","1539",37.6,"291",7.1,4.8
"White Sox","CWS","4083","13.9",34.3,"116.7","89.1","78.4","93","86.1","461","171","399","1615",39.6,"327",8,5.2
"Mariners","SEA","4069","12.6",32.7,"117.3","88.9","78","92.6","86.5","460","161","395","1601",39.3,"314",7.7,5.2
"Yankees","NYY","4040","12.7",32.7,"116.7","88.6","77.6","92.7","85.8","469","163","396","1563",38.7,"313",7.7,5.1
"Mets","NYM","4036","13.6",33.6,"118.3","89.2","78.4","93.4","86.1","455","166","402","1622",40.2,"323",8,5.3
"Astros","HOU","4036","13.2",33,"118.3","89.5","79.1","93.5","86.4","472","168","397","1626",40.3,"374",9.3,6.1
"Blue Jays","TOR","4020","13.4",35.1,"117.9","88.9","78","93.2","85.6","462","169","395","1601",39.8,"333",8.3,5.5
"Marlins","MIA","4013","11.7",32.8,"116.7","88.8","77.7","93.1","85.6","464","160","404","1546",38.5,"316",7.9,5.2
"Braves","ATL","4012","12.9",34.9,"116.6","89.2","78.7","92.9","86.4","483","167","403","1559",38.9,"305",7.6,5
"Brewers","MIL","4006","12.6",33.4,"115.3","88.6","77.8","92.8","85.6","463","163","398","1529",38.2,"301",7.5,5
"Padres","SD","4001","11.7",32.7,"115.4","88","76.9","92.3","84.8","474","158","397","1471",36.8,"285",7.1,4.7
"Rays","TB","3983","11.7",33.2,"115.9","88.6","77.6","93.4","85.8","465","159","400","1549",38.9,"326",8.2,5.4
"Twins","MIN","3961","14",33.1,"116","88.9","78.3","92.6","86.2","461","169","403","1533",38.7,"310",7.8,5.1
