"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Kirilloff, Alex","666135","52","13.1",30.8,"106.7","92.7","100.7","95.5","90.6","397","169","382","22",42.3,"5",9.6,6.9
"Jeffers, Ryan","680777","49","12.4",30.6,"111.2","84.2","98.6","91.7","78.2","403","169","391","16",32.7,"4",8.2,5.7
"Santana, Carlos","467793","49","17.9",22.4,"108.2","91.1","98.5","92.3","93.8","377","166",,"20",40.8,"1",2,1.4
"Buxton, Byron","621439","45","19.2",31.1,"110.3","90","100","95.2","87.7","354","166",,"18",40,"2",4.4,2.7
"Julien, Edouard","666397","44","14.8",31.8,"106.9","90.3","101","96.7","81.8","400","189","377","20",45.5,"7",15.9,8.8
"Martin, Austin","668885","38","13.9",34.2,"101.1","87.7","96.3","87.4","88.4","376","154","376","12",31.6,"0",0,0
"Castro, Willi","650489","35","6.1",40,"108.2","84.3","98.3","91.6","76.2","413","144","413","11",31.4,"3",8.6,4.2
"Margot, Manuel","622534","29","9.6",31,"106.6","84.6","98","86.7","86.9","416","140","416","9",31,"2",6.9,4.3
"Farmer, Kyle","571657","29","5.3",31,"103.3","81.6","92.3","90.3","76.9","365","127",,"4",13.8,"0",0,0
